Author	n (strains)	publication title	journal	publication URL	strains
Patel et al	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/IND/GBRC102/2020, complete genome	unknown	unknown	IND/GBRC102/2020
Ghanchi et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/PAK/AKU s11/2020, complete genome	unknown	unknown	PAK/AKUs11/2020
Onen et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/TUR/Tur-P1/2020, complete genome	unknown	unknown	TUR/Tur-P1/2020
Onen et al B	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/TUR/Tur-P9/2020, complete genome	unknown	unknown	TUR/Tur-P9/2020
Ren et al G	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/NZL/20VR3131/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	NZL/20VR3131/2020
Lekana-Douki et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GAB/56_Gabon/2020 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; and surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	GAB/56_Gabon/2020
Parry et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/QLD02/2020, complete genome	unknown	unknown	AUS/QLD02/2020
Alikhan et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate ZW-168 genome assembly, chromosome: 1	unknown	unknown	LR963416
Bitew et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ETH/S13/2021, complete genome	unknown	unknown	ETH/S13/2021
Byarugaba et al A	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/UGA/MUWRP-KIR200040S/2020, complete genome	unknown	unknown	UGA/MUWRP-KIR200040S/2020
Ngoi et al B	1	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GHA/84210_S44/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	unknown	unknown	GHA/84210_S44/2020
